Name,Rating,Summary,Verified,Review
Nas Phillips,4.0 out of 5 stars,Great Review,Verified Purchase,"I just got my iPhone 12 pro in mail today, I want say it package real nice and phone feel luxury even thou is refurbished. In addition I will do my review testing out the phone and see if there's any fake going on but however it came in good shape, no scratches what so ever. I like this alot and seller that send it too me did well because I am young guy review all my purchases and money is worth it spend that. So guy if you want buy refurbished iPhone trust me is worth it, I am going take picture and do a video soon on it. I appreciate amazon as loyal customer and more shopping to come in the future. Appreciate however read this and let see how the phone goes. Thirdly, I want thank seller for well design packaging got a charger and sim kit, I hope in the future people can be honest about thier review before at hand test before you write about it."
Carlos Velazquez,1.0 out of 5 stars,It's fraud by name,Verified Purchase,Totally a fraud by the name is a hoax thinking that you are going to give you an iPhone 12 pro max but the iPhone 12 pro ends up coming
Roberto Espinoza,1.0 out of 5 stars,TRASH,Verified Purchase,"Worst purchase, will have to return. Refurbished is no good. Bad battery, no face recognition. Definitely need the money back."
Petr Fursov,1.0 out of 5 stars,bad,Verified Purchase,bad
Amazon Customer,1.0 out of 5 stars,wouldnt buy- go to the store and get it,Verified Purchase,ive had so many issues with this phone so i am sending it back- keeps randomly shutting off and disconnecting my internet.
Katrina Harland,5.0 out of 5 stars,2nd one is perfect,Verified Purchase,I returned the 1st one due to screen color but reordered from the same company & the 2nd one is flawless. Still waiting on my refund for 1st one but assuming there will be no issues there
PeteSut,1.0 out of 5 stars,Brightness malfunction,Verified Purchase,"This is the refurbished phone I got from Digital Age USA, with brightness turned up all the way. Impossible to read. This is equivalent to the brightness turned to the lowest setting on my other iPhone. Sending it back for a refund. I wasn't sure if it was possible to troubleshoot this issue so I called Digital Age USA, but despite claiming they have a ""dedicated customer service staff available 8:30 - 6:30 CST/ 7 days"" no one picked up the phone after 2 attempts during those hours. Instead, I  was greeted by a recorded message telling me to send an email via Amazon returns."
Crystal,1.0 out of 5 stars,Worthless,Verified Purchase,"Very bad, worthless."
Dcube,1.0 out of 5 stars,BEWARE,Verified Purchase,"The phone looks great except for near the charging port where there was a ton of scratches. This phone has a lot of static noise in it. The callers on the other end constantly complain that they cant hear me and its a lot of background noise and at other times, no sound. I can hear them fairly clearly but they have all sort of issues hearing me. This is my second purchase since the first one had cracks on the screen. Dont be like me, make sure that if you do purchase, thoroughly test it before sending it off to Canada as a gift! Save yourself the disappointment and expenses. Avoid these and just put the extra mone and buy from apple refurb or buy New if you can. Take my advice"
nubia cordero,1.0 out of 5 stars,Bad product,Verified Purchase,So bad product and seller
ALucy,4.0 out of 5 stars,The item seems to be in good shape. I only returned because of the payment method appied,Verified Purchase,   
ANTONIO P. GOUDEAU JR.,1.0 out of 5 stars,Not as advertised,Verified Purchase," I actually like the phone and often buy renewed electronics from Amazon. I purchased this phone and everything works except the fact that there is a separation in the upper left hand corner of the phone that could possibly compromise the water resistance of the phone. The phone is sold as renewed with minor imperfections, but this is a major imperfection that could compromise the life of the phone. For the price I paid, I don’t see the value when I have to deal with these types of issues. As I have said before, I have bought other phones from the Amazon Renewed program and have never has a problem. In this situation I have given the seller the same information that I’m sharing here and they are giving me “the run around”. I only want a replacement for the phone as I need it for work. Unfortunately, I’m unable to currently reach that goal"
Anthony Apodaca,5.0 out of 5 stars,Perfect Quality for a Refurbished Product,Verified Purchase,"When unboxed, the phone was flawless. I couldn’t see any faults, micro scratches, or chipping. I love that it was available for a steep discount compared to what my carrier was offering and I’m enamored with 5G connectivity. I’m super stoked about keeping a great device out of a landfill. 10/10 would recommend !"
Dan R,5.0 out of 5 stars,Returned because of defect.  Amazon took it back with no question. I am a happy guy.,Verified Purchase,"I was trying to save some money by getting a used phone.  The phone was in great condition, and looked like new, until I found that the Bluetooth didn't work.  It's a great phone, but I really use the Bluetooth a lot, so there was no question that it had to be returned.  Amazon gave me no hassles, and I am a happy guy.  I finally gave up the idea of a used phone, and just went out and got a new phone.  Yes it was expensive, but it should last a long time."
jonnathan perez,5.0 out of 5 stars,Best phone i ever had,Verified Purchase,The face recognition is amazing battery life is at 100% and the touch screen is amazing. i was alittle skeptical at first but now that i have this iphone in my hands i can honestly say that it was a great buy and a great deal. Honestly would buy again if i ever need to !!!!!
brittany,5.0 out of 5 stars,Amazing just like new,Verified Purchase,This phone is awesome coming from using an iPhone 7. Takes a few mins to update when you first receive (more like 5 hours) but once it’s booted up it’s great! I love this phone and the shipping was super fast.
Shirley,1.0 out of 5 stars,Improvements required on the quality of the phone,Verified Purchase,"Unable to start and close the phone. As the price was expensive, its quality and package were not satisfying. It was an awful experience."
Shahin,5.0 out of 5 stars,Perfect,Verified Purchase,Had 100% battery. Thank you sir
Bony Laurent,5.0 out of 5 stars,Awesome,Verified Purchase,"Awesome iPhone, came like new, no to not visible scratches. I got it connected right away with my provider without any problem. Face recognition, extraordinaire. Battery life, pretty descent to handle all those features and last about 24 hours. Great technology is expensive, so, the price is acceptable for an item that is  almost perfect."
Jorge Correa,1.0 out of 5 stars,,Verified Purchase,
Juvien86,5.0 out of 5 stars,Highly recommend,Verified Purchase,Just got my phone and it came exactly how I expected. Battery 90%! Completely unlocked because I live in Aruba! Just out my sim in and readyyyy!One minor scratch but you have to look really hard to find it. I guess I’m luckySo happy I bought it!
Brandon J,2.0 out of 5 stars,Great Renewed IPhone. Poor Battery Life,Verified Purchase,"The phone works great beyond the battery life. When I first got it, I noticed an easily drained battery. I gave it the benefit of the doubt, let it charge and used my old phone for the day.Fast forward 72hrs later, the battery life is better but not still draining easily after it drops below 80%. Thankfully I reached out to Amazon and they are sending me a replacement (thank you!)Hoping my Asurion warranty will work on my new replacement and not just this iPhone with the poor battery life."
Bee,3.0 out of 5 stars,The SIM Tool Missing,Verified Purchase,"No SIM Tool was included with my Iphone 12 Pro package as represented in Amazon. Would appreciate one, rather than using hair pins that can damage the phone."
Myasin1,2.0 out of 5 stars,Not good for money,Verified Purchase,I bought it and use it for almost 2 months and then this phone start heating up in my pocket I did not even use just in my pocket or just laying down it start to heat up for no reason and shut off be careful full before you buy and yes look for a poolicy which says 3 months return so I’m may case you can return it other wise Amazon coustmer service is great thanks
Dorothy MacAskill,5.0 out of 5 stars,Satisfied,Verified Purchase,Love the phone but need insurance.
Amazon Customer,3.0 out of 5 stars,Should provide more information on what was renewed on the phone.,Verified Purchase,More Information on working conditions and transparency on major repairs of the phone (such as replacing camera etc).  I found out by chance that major repairs were done to the phone.  Too much emphasis on ‘how’ the phone looks. Had I known in advance of the major repairs I would not have bought the phone. Price difference from new to renewed is too close.
Pedro,4.0 out of 5 stars,Small scratches on the screen,Verified Purchase,I was excited to get the new iPhone and willing to pay the amount it cost but then I take it out of the box it came in and it already had minor scratches on the display and It was really off putting I can’t stop staring at it
Escuela - Salas Family,5.0 out of 5 stars,Arrived perfect as new,Verified Purchase,Perfect condition battery life 100# excellent investment I recommend this perfect
Alex K.,1.0 out of 5 stars,Sprint locked iPhone received.,Verified Purchase,"Received sprint locked iPhone.To check yours go to:Settings -> general -> about,Find line that says “Carrier Lock”.Unlocked phone should say “No SIM restrictions”.Unfortunately the iPhone I received says “SIM locked” and has a large yellow sticker in the back that says “To unlock this phone call sprint at…”"
caesar,1.0 out of 5 stars,This phone is no good,Verified Purchase,"This phone is no good it is getting hot, it has no service bar, i need my money back please"
Pendeza,5.0 out of 5 stars,Wow 😮,Verified Purchase, It was great! I was so happy to hold it but then I had a really tough time transferring my files from the previous one to this idk why but other than that! Amazing️️
Richi,2.0 out of 5 stars,Full scratches,Verified Purchase,Not much investment is in perfect condition
Cameron Stanley,1.0 out of 5 stars,No SIM card I used would work.,Verified Purchase,"When I bought this phone I thought I could just transfer my SIM from my old phone to this one and to my surprise it did not work. So I thought ""Okay well maybe I need a new SIM from a new provider?"" Well, I went through Verison, AT&T,  and Straight Talk. And this phone would not work with any of them. So I returned it but now because of a fault with either Amazon or UPS a different tracking number was used and now I can't even get my money that I spent on this back either, just to add more fuel to my anger. Definitely won't catch me buying a ""renewed"" phone from you guys again. Not worth it."
Eva K,5.0 out of 5 stars,Fantastic value,Verified Purchase,"Phone works perfectly, long battery life, face recognition works well. Very happy that I bought it!!"
Val,4.0 out of 5 stars,Look like new,Verified Purchase,"I have bought it for my daughter, the device looks like new and is pretty smooth."
ms james,5.0 out of 5 stars,Perfect,Verified Purchase,"The sellers were amazing and were very helpful when I ad a slight issue. The phone was exactly what you'd expect, no scratches or marks, it was perfect condition in every way. It was delivered quickly and a reasonable price."
Juan Perez,5.0 out of 5 stars,Perfect,Verified Purchase,The phone looks like new. Great price. Battery has a 100% maximum capacity. I couldn't be happier with my purchase.
Alberto Parra,4.0 out of 5 stars,"Would recommend it, it is certainly not a new phone, and is truly a gamble.",Verified Purchase,"I bought 2 copies, a Blue one and a Space Gray. The blue one arrived with a small scratch on the surface (not on the screen), but with 100% battery capacity. The gray one, arrived in perfect shape (no scratches anywhere) but with 88% of battery capacity.It is what you are buying, a Renewed phone, not new, not used, somewhere in the middle and is certainly a gamble. They both are working perfectly and have no other flaws, i would give the product in general 8 out of 10, and would recommend it."
Rastislav Sivulka,5.0 out of 5 stars,The iPhone 12 Pro working well in great condition Thankyou,Verified Purchase,Excellent
Jason Branch,5.0 out of 5 stars,Like brand new no scratches no scuffs and battery health was 100%,Verified Purchase,No scratches no marks no scuffs and battery health was 100% phone was like brand new…. The only thing that wasn’t up to par is it didn’t come with an original charging block but that’s a very small issue if any issue at all
kugelang,5.0 out of 5 stars,Looks good as New,Verified Purchase,It shipped quickly and came with a charger and cable.  It looks like New.  The battery is at 93%.  I did end up buying the Apple fast charger and a usb c to lightning cable.
Jennifer,5.0 out of 5 stars,IM IN LOVE!,Verified Purchase,For a renewed phone this is awesome! works perfectly no flaws battery is AWSOME! if i could give one piece of advice to the seller 86 FEDEX not the best haha but aside from the that the phone is a 10 out of 10 thank you!!
Shela,5.0 out of 5 stars,Excellent product. Recommended,Verified Purchase," The reviews had me worried and nervous about the iphone but it was all good, excellent product from Trademore. The product arrived before the estimated date. They are using fedex 2 days express delivery and signature are needed. So I received my iphone 12 pro 2 days after I made my payment in Amazon. My phone came in with zero scratches, zero dents, & 100% battery capacity. This felt like a new phone. Would definitely recommend."
Peter Olson,5.0 out of 5 stars,Looks like new!,Verified Purchase,Accurate description of what you are getting.  Like the color and battery life.
Noel Torres,5.0 out of 5 stars,Great and legit!,Verified Purchase,"The product is brand new. Aside from the battery percentage being 87%, it cosmetically has no wear and tear at all, because I assume it had a really good case on it prior. Definitely a great purchase for 700$. The battery being that way does not change anything drastically for the potential trade in value of the phone anyways so if you’re looking in to a renewed phone you should have great luck. If you don’t, return it and simply get different phone and it will be assured quality."
C. Miller,5.0 out of 5 stars,It came through. No scratches or problems,Verified Purchase,Good phone just as advertised no issues
Mahdi,1.0 out of 5 stars,.,Verified Purchase,Scam
Steve,5.0 out of 5 stars,No box or anything smh,Verified Purchase,Horrible
Marcos Padilla,5.0 out of 5 stars,Mint condition,Verified Purchase,"The look, feel, and performance of this iPhone 12 Pro is in no way distinguishable from a new one. Not a single scratch, blemish, dent, or scuff on this phone. I would think all electronics from this seller are in perfect condition. Battery life is 96%"
Anna,5.0 out of 5 stars,I'm pleased,Verified Purchase,"I've included photos of how the phone came and a water bottle for size reference. Overall, I'm pleased with my product. It came with a generic charger and surprisingly a SIM card tool opener. The phone arrived in like-new condition and the battery optimization was 92%. I easily transferred the SIM card from my old phone to the new one and set it up with my phone carrier with no problems."
Aron Jackson,2.0 out of 5 stars,Misleading,Verified Purchase,Product description said it was unlocked for AT&T but rather It was unlocked for T-mobile other than AT&T.  What a headache!
Sarah blazynski,5.0 out of 5 stars,Worth it,Verified Purchase,Bought this for my girlfriend for Christmas and she’s been loving it ever since !
Khenny,2.0 out of 5 stars,Still Observing,Verified Purchase,"Phone came fast, battery was on zero and came with flimsy charging cord. Everything else looks good, no scratches, unlocked and battery was at 90% health. But now I've found out it get really really hot when I connect via Bluetooth for carplay navigation. I'll keep for a while and if this continues I'll be returning it."
Gisela Guerreño,5.0 out of 5 stars,Excellent!!,Verified Purchase,Excellent product!! It is impeccable and fulfills as is the description attached by amazon!!
Rusbert Montero,5.0 out of 5 stars,excellent product,Verified Purchase,works perfectly
Rusbert Montero,5.0 out of 5 stars,Like new. Perfect,Verified Purchase,"This is like new or is new last year model. iPhone 12 Pro 256 GB , is prefect"
LATONYA K.,3.0 out of 5 stars,Display had a continuous error,Verified Purchase,Other than the Display error the touch was iffy
Deidre Prescod,5.0 out of 5 stars,Works great,Verified Purchase,I bought 2 of these phones and they both work well no cracks great battery life
A. A.Azar,4.0 out of 5 stars,Great value,Verified Purchase,«::P::» «:::E:::» «:::R:::» «:::F:::» «:::E:::» «:::C:::» «:::T:::» Thank You
V R.,3.0 out of 5 stars,Screen Touch does not work properly,Verified Purchase,"The touch Capacitors on the screen, function improperly ."
Philana Crouch,5.0 out of 5 stars,Great Condition and Great Value,Verified Purchase,"I just got my iPhone 12 Pro yesterday and so far I've been very pleased. It was in very good condition, any minor imperfections will be hidden by a case and screen protector."
"

Eunjung

VINE VOICE
",VINE VOICE,Pretty nice,Verified Purchase,"No battery issue, no damage, no problem with my mobile network and camera is good."
luvu,5.0 out of 5 stars,Great phone!,Verified Purchase,"So far the phone is working fine, no scratches it look brand new."
Tibo,5.0 out of 5 stars,Great phone,Verified Purchase,Awesome phone battery health was 100%. Looked brand new
Issam Elayyan,1.0 out of 5 stars,I phone 12 pro,Verified Purchase,The phone has problem with camera or screen.. i contacted the seller.. they answered to send phone back to usa . Its very hard to ship the phone to usa.. they must find sulation..
rey,5.0 out of 5 stars,Like new. Perfect,Verified Purchase,"This is like new or is new last year model. iPhone 12 Pro 256 GB , is prefect"
Jules,4.0 out of 5 stars,Great phone- poor battery,Verified Purchase,"Definitely worth the money, works like new but the battery life is not what a new iPhones should be. Otherwise I’d highly recommend!"
Amazon Customer,1.0 out of 5 stars,,Verified Purchase,
JJ,5.0 out of 5 stars,Works good,Verified Purchase,Buy all of my iPhones this way
Mufaly Sala,3.0 out of 5 stars,It okay,Verified Purchase,Some scratches on the screen. I bought it for my uncle but he doesn't pay attention to that kind of stuff. The main thing it's a working phone.
Carlos hernandez,1.0 out of 5 stars,,Verified Purchase,
Joszary,3.0 out of 5 stars,Camera problems,Verified Purchase,"It’s a great phone but my phone back camera is having problems.  My 12 Pro came in  March 17 ,22 I don’t know why the camera doesn’t wanna focus it’s like trying to focus , but it’s shaking at the same time and making noises but if you zoom in or have wide view it doesn’t do that."
Bimala tamang,5.0 out of 5 stars,iPhone 12 Pro,Verified Purchase,It works well and I brought this for my brother he was very happy.
HUEND GONÇALVES OLIVEIRA,4.0 out of 5 stars,Great product,Verified Purchase,"The phone is good, Because the screen has a scratch!"
Frederick,5.0 out of 5 stars,,Verified Purchase,
Jaquron Jones,2.0 out of 5 stars,Iphone still blocked,Verified Purchase,Im not sure if it was accidental or it was on purpose but I ordered 2 iphones and 1 of them is still blocked im not sure why. I messaged him twice today so im not sure why I havent gotten a response or why he has unblocked the imei yet but just a problem that ive ran into. Hopefully he fixes it so I can give him the rating he deserves
eagles13dany,5.0 out of 5 stars,Basically brand new,Verified Purchase,The phone was packaged with care and the new looked like it was out of the box. It had a 100% battery health and came with charger and cable. I been using this phone heavily for the last week and had no problems what so ever. 10/10
Kathy Hubble,4.0 out of 5 stars,Excellent Choice,Verified Purchase,"I received my new phone yesterday and was delivered as promised.  Arrived in excellent condition with a battery health of 100% which is far better than promised.  So far, I'm working thru the learning curve, but set up was a breeze."
Janice B.,5.0 out of 5 stars,Great!,Verified Purchase,Beautiful phone! Hadn't had any issues with it
Debby L Cole,5.0 out of 5 stars,Great Deal,Verified Purchase,Phone arrived earlier than expect. Phone was in amazing  condition and looked brand new.Very happy so far with this purchase
j villarreal,5.0 out of 5 stars,Great phone!,Verified Purchase,Works great! Love it!
Gbobst,5.0 out of 5 stars,Quality seller!,Verified Purchase,"Seriously, like a brand new phone! Can not tell the difference. Battery health is above 90% and little if any to no a scratches. Phone functions flawlessly.  I would recommend this seller. Thank you!"
Z,3.0 out of 5 stars,Great Phone but issue,Verified Purchase,Phone is great besides you can’t hear off of it well volume is extremely low although the it’s turned up
Judith Stewart-Johnson,5.0 out of 5 stars,Excellent condition,Verified Purchase,I am happy with my purchase of this iPhone. It came looking brand NEW. I have it 3 months now and so far it has been working excellent.
Omega,5.0 out of 5 stars,"Good condition, shipping was quick!",Verified Purchase,"Good condition, shipping was quick!"
Hadley Lux,4.0 out of 5 stars,No face recognition,Verified Purchase,Everything was great and transferred over. My only complaint was the face recognition didn’t work. Other than that everything was fine
j villarreal,5.0 out of 5 stars,,Verified Purchase,
Ron Sullivan ,5.0 out of 5 stars,A very nice phone at a fair price,Verified Purchase,FaceRecognition
Jessica rios,5.0 out of 5 stars,Exvekente,Verified Purchase,Excelente
DESMOND,5.0 out of 5 stars,EXCELLENT PRODUCT!!!!,Verified Purchase,EXCELLENT PRODUCT! It didn’t come in original box but Phone looked and functioned like a BRAND NEW IPHONE!!!!
Diego,5.0 out of 5 stars,Amazon: guarantee of trust,Verified Purchase,"The phone really EQUALS NEW, a pleasure to buy again and again on Amazon!!!"
Takunda Chikundura,5.0 out of 5 stars,Good as new,Verified Purchase,Works like new battery still had 94% capacity. Screen and Basel are intact and clean
Ele,3.0 out of 5 stars,It came broken from one eye of the camera sell something good,Verified Purchase,Broken an eye of the camera and Bosnia is useless
Aji r.,4.0 out of 5 stars,Good condition 98%,Verified Purchase,There’s few starches on the front screen. I hope this phone will last long.
Dinakar,1.0 out of 5 stars,I RECEIVED A DAMAGED DEVICE!!! AMAZON REFURBISHED DEVICES ARE A FRAUD..,Verified Purchase,"I RECEIVED A DAMAGED DEVICE!!! Battery has swollen in 3 months, parts were changed internally. For first 3months, phone charge was <10hrs and now it's less than <3hrs. AMAZON REFURBISHED DEVICES ARE A FRAUD.."
Chris sky kombe,5.0 out of 5 stars,Value for money!,Verified Purchase,Great phone. Still super neat!
Lanisha,5.0 out of 5 stars,Great,Verified Purchase,The phone works great I haven’t had a problem with it.
Menatalla,4.0 out of 5 stars,Too expensive.,Verified Purchase,"Too expensive, I’ve got another one better price."
EDUARDO ,4.0 out of 5 stars,which is in perfect condition and everything works well,Verified Purchase,to replace my old cell phone.
walter,5.0 out of 5 stars,Excellent condition with no details,Verified Purchase,"everything works very good the presentation of Amazon, manual, box, charger cables, etc."
Carlos,1.0 out of 5 stars,Mobile Phone iPhone 12 Pro max,Verified Purchase,I sent an iPhone as a gift and it is failing it does not work for me
Cisto Pedro,5.0 out of 5 stars,Seems good at all,Verified Purchase,Good. I love it
Zinky,5.0 out of 5 stars,Would recommend buying,Verified Purchase,This product is a 10/10 because the battery health was at 100% no crack dents and the camera and microphone worked and I would recommend this to to a friend.
Tristan Secor,4.0 out of 5 stars,Battery,Verified Purchase,Really good for its price. Battery isn’t horrible I was worried about the battery but I’m honestly suprised. (I’m not getting paid for my review)
JHON SARMIENTO QUIROZ,4.0 out of 5 stars,Basically it's new,Verified Purchase,The only thing I didn't like was the packaging and charger
Sam Jockey,4.0 out of 5 stars,The screws were missing on the phone.,Verified Purchase,The phone was very good overall and the battery health was 100% but the screws of the phone were missing. You lost a star dude.
TJ,5.0 out of 5 stars,Excellent product,Verified Purchase,"Product was in excellent shape, looks like new, so far works great. Item shipped fast. I would happily do business with them again, thanks!"
JT,3.0 out of 5 stars,Disappointed,Verified Purchase,"While the battery quality was labelled 80% of ideal, it doesn't last more than 8 hours even on battery save mode.Ps. I have no background apps running"
Alexis Monet,4.0 out of 5 stars,Great product,Verified Purchase,I like the product and it works like a new phone. The only negativity was the shipping took long after it got to FedEx facility in the city.
T,5.0 out of 5 stars,Very good,Verified Purchase,The phone is really good. Looks like a brand  new phone.
SHANNON,5.0 out of 5 stars,This is a great purchase!,Verified Purchase,I love my new phone and I’m so glad that I made the purchase!
Amazon Customer,5.0 out of 5 stars,iPhone 12 Pro - Received as described,Verified Purchase,Thank you.
Gustavo,5.0 out of 5 stars,Perfect,Verified Purchase,"Perfect, no issues. Batery health on 100%."
Amazon Customer,2.0 out of 5 stars,False advertising,Verified Purchase,It's not unlocked
Momma Rose ,5.0 out of 5 stars,Looks brand new,Verified Purchase,Looks new works great no issues thus far! Happy with my purchase
Chris,5.0 out of 5 stars,On time as advertised in great condition!  Very satisfied,Verified Purchase,Easy setup no hiccups no blemishes looks brand new. Awesome
Sean Williams,5.0 out of 5 stars,It works.,Verified Purchase,It works.
eric miller,5.0 out of 5 stars,very impressive,Verified Purchase,came in on time and in very impressive condition works great i would recommend this phone for sure!
