Name,Rating,Summary,Verified,Review
Victoria,5.0 out of 5 stars,iPhone 12 Pro,Verified Purchase,Absolutely love it and it connected to my carrier very easily.
Laura,3.0 out of 5 stars,,Verified Purchase,
Consu,5.0 out of 5 stars,I’m satisfied for all perfect,Verified Purchase,For all perfect
M Leary,5.0 out of 5 stars,"Received what I expected, excellence.",Verified Purchase,Product was shipped and delivered as expected in time for Christmas.
Doshie Shaw,5.0 out of 5 stars,Works great,Verified Purchase,Very good device
Amazon Customer,5.0 out of 5 stars,Excellent,Verified Purchase,Great condition and battery life.
George Anderson,1.0 out of 5 stars,My camera did not work on my phone,Verified Purchase,The camera on my phone did not work
Viviana,5.0 out of 5 stars,Very efficient,Verified Purchase,I loved it. Very good price
ray james,5.0 out of 5 stars,Gray phone be for the price,Verified Purchase,You use the phone for my YouTube videos
Debra T.,5.0 out of 5 stars,No problems - great phone so far - shipped quickly.,Verified Purchase,Used product to upgrade from old phone.  No problems so far.
Brian Witt,5.0 out of 5 stars,looks new,Verified Purchase,works great looks brand new
D,5.0 out of 5 stars,Works great,Verified Purchase,Works great !
Olasunbo ,5.0 out of 5 stars,Very satisfied,Verified Purchase,Very satisfied
Nea Davis,5.0 out of 5 stars,Nice,Verified Purchase,It was like new
N/A,1.0 out of 5 stars,Looks Fake,Verified Purchase,It looks like the seller only posted these comments.1250 for a renewed phone while a new one costs 1000 is very funny though.
Ana,5.0 out of 5 stars,Immaculate condition. Great deal!,Verified Purchase,"My wife bought this as a NY gift. Fantastic quality, nicely packaged and battery health at 96%. Felt like brand new!"
My order now,1.0 out of 5 stars,not worth buying,Verified Purchase,did not charge more than 50% after several hours and speaker is much quieter than it should be
maritza Acosta,5.0 out of 5 stars,I adore it,Verified Purchase,"It is perfect in all its functions, I have no complaints about the battery has good performance according to the use we give it. It's good!"
philomene exantus,1.0 out of 5 stars,Do you self a favor save t is not a better phone than iPhone 11 get a brand,Verified Purchase,I had the phone less than a week the phone froze and refused to work the only reason why I gave it a one star is because I can’t give it a zero  star.. I am very unsatisfied and very pissed off
Duck,5.0 out of 5 stars,Great iPhone all around!,Verified Purchase,"Recived mine from a carrier new but coming from a 6s to a 12 is night and day! If your in the market for a decent iOS this is a great choice,my brother has the 12 mini he loves it,I even put aside my SE for this in Colbalt blue <3"
Jose,1.0 out of 5 stars,Terrible!!!!,Verified Purchase,I ordered my iPhone about a week ago used it for a day and a half and wouldn’t turn on even when left charging overnight. Ridiculous
Samantha Dang,2.0 out of 5 stars,Battery life was bad.,Verified Purchase,"The battery was bad, it took longer time to charge and running out battery so fast. It didn’t happen like that with my old phone so I can tell the different."
Matt C.,5.0 out of 5 stars,Excellent Phone from Amazon,Verified Purchase,A great renewed phone from Amazon! I had purchased a phone on here before and now I returned for a much needed upgrade. Had the phone arrive with 95% battery and no scratched or blemishes.
Sophie Wargo,5.0 out of 5 stars,Splendid,Verified Purchase,Ease of setup and use. Thank you greatly
Alexandra,5.0 out of 5 stars,Phone is good,Verified Purchase,The phone is great! I was a little worried it was going to be a scam but the phone is in great shape! Good quality! Only thing off was the chord of the charger but other than that all is good.
José Navas,5.0 out of 5 stars,,Verified Purchase,
P. Krembs ~P.K.~,4.0 out of 5 stars,"Used, but like new",Verified Purchase,Phone was delivered a day early and appears to be in excellent condition. It seems like new and functions as it should so far. I was wanting to upgrade to a 12 Pro but those models are no longer offered directly by Apple and this turned out to be a legit alternative so far.
Lawson J.,5.0 out of 5 stars,Pretty good,Verified Purchase," Got mine without any dent, 100% battery health, Face ID working fine and fully unlocked"
Janet ,5.0 out of 5 stars,Apple’s iPhone 12 Pro is an Incredible Cellphone,Verified Purchase,This iPhone is  the Best Ever! It is very Fast and I love the screen resolution! It is so vivid! The facial recognition is very fast…you don’t have to wait for it to acknowledge you to open up like previous iPhones!
Lea Bates,5.0 out of 5 stars,I love it!,Verified Purchase,"Came fully unlocked, super easy to set it up and the phone is awesomeness!"
Honest,5.0 out of 5 stars,"Good quality phone, a trust seller!",Verified Purchase,"I usually received battery health 83-85% renewed iPhones, but this time I got 95% battery health condition and look like a new iPhone, no scratch can be sighted. Very happy with my purchase!"
Clara Edem Daku-Bedzi,5.0 out of 5 stars,iPhone,Verified Purchase,So far so good. It’s been working well & I hope it continues.
Cliente de Amazon,5.0 out of 5 stars,"Excellent, product and shipping time",Verified Purchase,"The iPhone is in excellent condition, no brand of use, the battery has a life of 93% longer than indicated, it works excellent, definitely good purchase, its accessories are not original but the publication indicates this at the time of purchase and they sent it with an accessory as a gift."
Javiercelis,5.0 out of 5 stars,Good product,Verified Purchase,Good product
Bishal Bista,2.0 out of 5 stars,Worse battery life,Verified Purchase,The phone had low battery life. Other than that the phone was good based on apperance.
Austin moss,5.0 out of 5 stars,great,Verified Purchase,i was expected a used phone but it was brand new in the iphone box seal
Jane Luke,5.0 out of 5 stars,"The battery health is 100 percent, it looks really new and clean and everything works perfectly",Verified Purchase, Everything works good for now so nothing to dislike
Jorge Valle,5.0 out of 5 stars,Cellphone comes in excellent condition with 98% life battery,Verified Purchase,"The iPhone comes in excellent conditions with 98% life battery and screen protector, totally recommended."
Marilia Gurgel,5.0 out of 5 stars,Great deal,Verified Purchase,"The phone came in perfect conditions. Accessories was not Apple Original, but everything is working very well."
Mike D.,5.0 out of 5 stars,Exactly what i wanted. Great quality for price. And it works too!,Verified Purchase,I was worried about buying a renewed phone but this works like new 10/10
Jered,5.0 out of 5 stars,Works & Look Like A Brand New Phone,Verified Purchase,It Works Like A Brand New Phone As If It Came In A New Phone Box!!! Get It!!!!
Ashish,5.0 out of 5 stars,I am happy with this purchase.,Verified Purchase,I strongly recommend
Oluwande Aanu james,5.0 out of 5 stars,Lovely,Verified Purchase,I love it (Gold) so sparkling It come with a short cable but I still love it what I ordered is what I got… fantastic
Agustin,5.0 out of 5 stars,Value for money,Verified Purchase,Incomparable quality. Quality of the wrapping was exceptional. Speedy to send. Would buy from again.
Melanny L.,5.0 out of 5 stars,Looks like brand new,Verified Purchase,"Excellent conditions, so far no problems."
Zayda Enriquez,Size: 128GBColor: Pacific BlueService Provider: UnlockedProduct grade: Renewed Premium,,Verified Purchase,
Diego Alberto Valdez Gurrola,Size: 128GBColor: Pacific BlueService Provider: UnlockedProduct grade: Renewed Premium,,Verified Purchase,
Carlos M.,Size: 256GBColor: GraphiteService Provider: UnlockedProduct grade: Renewed Premium,,Verified Purchase,
Ines,Size: 512GBColor: Pacific BlueService Provider: UnlockedProduct grade: Renewed Premium,,Verified Purchase,
Yadira,Size: 128GBColor: Pacific BlueService Provider: UnlockedProduct grade: Renewed Premium,,Verified Purchase,
Amazon Customer,Size: 128GBColor: GraphiteService Provider: UnlockedProduct grade: Renewed,,Verified Purchase,
